Home,Win,Minutes,FieldGoals,FieldGoalsAttempts,FieldGoals%,3P,3PA,3P%,FreeThrows,FreeThrowAttempts,FreeThrows%,ORebounds,DRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,GameScore
1,1,27,4,16,0.25,0,0,,3,4,0.75,3,3,6,2,2,0,0,0,11,7.4
1,1,27,11,19,0.579,0,1,0,1,1,1,1,3,4,6,1,1,2,2,23,18.8
1,0,27,7,16,0.438,1,2,0.5,6,8,0.75,0,2,2,2,2,0,0,2,21,15
0,0,26,8,16,0.5,0,1,0,12,12,1,1,4,5,2,1,3,1,2,28,24.6
1,1,26,13,21,0.619,0,0,,13,16,0.813,2,3,5,4,4,1,3,0,39,35.1
0,1,26,9,17,0.529,1,3,0.333,8,8,1,0,3,3,3,2,1,0,4,27,22.8
1,1,26,4,10,0.4,0,1,0,4,6,0.667,1,2,3,6,0,0,1,4,12,8.7
0,1,26,8,18,0.444,0,1,0,1,4,0.25,3,4,7,3,3,0,3,0,17,11.8
1,1,26,12,22,0.545,0,0,,10,12,0.833,0,3,3,1,0,0,0,1,34,23.8
0,0,25,5,15,0.333,0,0,,7,7,1,1,3,4,8,0,2,1,2,17,15.3
1,1,25,14,20,0.7,3,3,1,7,9,0.778,2,5,7,5,2,0,1,2,38,35.4
0,0,25,2,10,0.2,1,2,0.5,1,2,0.5,2,2,4,4,0,0,4,1,6,-0.2
0,0,25,4,14,0.286,0,0,,0,2,0,0,3,3,1,3,0,2,3,8,0.4
0,0,24,6,10,0.6,0,0,,1,1,1,0,2,2,3,3,2,4,1,13,11.1
1,1,24,11,18,0.611,4,5,0.8,4,4,1,1,4,5,1,1,0,2,1,30,23
0,1,24,11,22,0.5,1,3,0.333,3,3,1,1,3,4,4,4,0,1,0,26,22.4
1,1,24,7,14,0.5,0,0,,2,2,1,1,6,7,2,2,0,3,3,16,10.7
1,1,24,2,6,0.333,0,1,0,2,3,0.667,1,2,3,4,3,0,1,3,6,7.1
1,1,24,4,14,0.286,0,0,,2,2,1,3,6,9,0,0,0,1,2,10,3.9
0,1,23,10,17,0.588,0,1,0,4,6,0.667,1,0,1,1,1,3,4,2,24,15
1,1,23,6,12,0.5,0,1,0,0,0,,0,1,1,7,3,1,2,1,12,12.5
1,1,23,7,17,0.412,1,4,0.25,1,2,0.5,1,1,2,4,2,0,0,1,16,11.9
0,0,22,9,15,0.6,0,0,,4,6,0.667,0,1,1,3,5,0,3,4,22,17.1
1,1,22,7,13,0.538,2,5,0.4,2,2,1,0,4,4,7,3,1,2,1,18,19.1
0,0,22,8,18,0.444,0,0,,3,3,1,0,8,8,2,1,0,1,1,19,13
0,0,22,4,12,0.333,0,0,,3,4,0.75,0,4,4,4,1,0,1,0,11,7.8
0,0,22,6,17,0.353,0,0,,2,2,1,0,3,3,2,2,0,3,4,14,4.2
1,1,21,5,12,0.417,0,1,0,5,7,0.714,0,0,0,3,3,1,0,4,15,12
1,1,21,8,15,0.533,0,0,,5,5,1,0,4,4,5,2,1,0,1,21,20.7
1,1,20,4,9,0.444,0,1,0,1,3,0.333,1,2,3,6,0,0,1,2,9,7.2
1,1,19,5,12,0.417,0,1,0,9,9,1,1,2,3,3,1,0,2,3,19,13.8
1,1,19,4,5,0.8,0,0,,0,0,,0,5,5,2,2,0,1,3,8,8.8
0,1,18,6,10,0.6,0,0,,0,0,,0,2,2,2,0,0,1,1,12,8
0,0,18,4,14,0.286,0,0,,2,2,1,0,2,2,1,1,1,1,1,10,3.4
0,0,16,7,16,0.438,0,1,0,6,7,0.857,2,0,2,1,0,1,1,3,20,11.8
0,0,16,4,13,0.308,0,0,,0,1,0,1,0,1,1,0,0,1,2,8,-0.3
0,1,16,2,9,0.222,0,0,,3,3,1,0,1,1,2,2,0,2,0,7,3.2
0,0,15,4,14,0.286,0,2,0,4,6,0.667,4,0,4,3,2,2,1,1,12,9.9
1,0,15,2,5,0.4,0,0,,0,0,,1,2,3,2,0,0,3,1,4,0.6
0,0,14,4,16,0.25,0,1,0,9,10,0.9,3,1,4,1,7,1,1,0,17,16.8
1,0,13,4,7,0.571,0,0,,4,7,0.571,0,1,1,2,1,0,1,2,12,8.4
1,0,12,1,5,0.2,0,0,,0,0,,0,3,3,3,0,0,0,1,2,1.5
