Home,Win,Minutes,FieldGoals,FieldGoalsAttempts,FieldGoals%,3P,3PA,3P%,FreeThrows,FreeThrowAttempts,FreeThrows%,ORebounds,DRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,GameScore
1,0,33.18,9,10,0.9,0,0,,3,7,0.429,1,7,8,1,0,1,2,3,21,17
1,0,25.83,5,6,0.833,0,0,,2,3,0.667,3,4,7,0,0,1,4,6,12,7
1,1,24.60,3,7,0.429,0,0,,6,8,0.75,1,3,4,2,2,0,0,4,12,10.9
0,1,23.82,11,13,0.846,0,0,,4,9,0.444,1,3,4,2,0,1,2,2,26,20.2
1,1,39.32,12,18,0.667,0,0,,2,5,0.4,6,5,11,3,0,3,2,1,26,24.5
1,1,23.23,5,10,0.5,0,0,,3,7,0.429,3,7,10,4,0,1,2,3,13,10.9
1,1,24.13,6,8,0.75,0,0,,7,8,0.875,3,4,7,2,1,3,2,5,19,19.2
1,1,34.72,4,8,0.5,0,0,,4,6,0.667,2,10,12,5,0,3,1,3,12,15
0,0,25.38,9,14,0.643,0,0,,2,2,1,5,2,7,4,1,0,3,2,20,17.9
0,0,32.55,6,13,0.462,0,0,,4,5,0.8,5,5,10,1,4,0,2,4,16,15
0,0,35.05,9,13,0.692,0,1,0,6,15,0.4,3,6,9,3,0,1,2,3,24,18.4
1,1,38.38,8,17,0.471,0,0,,6,11,0.545,3,7,10,1,3,2,3,1,22,17.2
1,1,23.50,4,4,1,0,0,,3,7,0.429,0,6,6,1,2,3,1,3,11,12.6
0,0,27.07,6,9,0.667,0,0,,2,5,0.4,3,4,7,3,1,0,2,2,14,12.5
0,1,36.63,7,10,0.7,0,0,,3,8,0.375,1,10,11,4,0,2,4,1,17,14.3
0,0,17.78,4,9,0.444,0,0,,1,4,0.25,2,1,3,1,2,1,4,3,9,3
0,1,18.47,2,7,0.286,0,0,,6,9,0.667,4,6,10,1,0,1,1,2,10,8.9
1,1,30.22,8,11,0.727,0,0,,3,9,0.333,1,2,3,1,4,1,2,3,19,15.6
1,1,31.05,5,9,0.556,0,0,,5,11,0.455,3,3,6,0,0,1,1,4,15,9.4
1,0,28.80,5,11,0.455,0,0,,0,2,0,0,10,10,1,0,1,1,2,10,6.1
0,0,24.98,6,12,0.5,0,0,,0,3,0,4,3,7,0,0,0,1,4,12,5.9
0,1,18.90,3,6,0.5,0,0,,0,3,0,1,6,7,3,0,3,3,5,6,3.5
1,1,26.73,3,7,0.429,0,0,,2,4,0.5,3,3,6,3,1,2,0,4,8,9.4
1,1,28.53,7,9,0.778,0,0,,7,10,0.7,2,6,8,3,0,1,1,4,21,19.7
1,0,31.20,7,13,0.538,0,0,,0,0,,0,10,10,1,0,5,3,2,14,11.1
0,1,18.83,3,5,0.6,0,0,,1,2,0.5,0,4,4,0,2,0,2,0,7,5.5
0,1,19.60,4,8,0.5,0,0,,2,4,0.5,0,5,5,1,0,2,2,5,10,4.8
0,1,21.37,4,8,0.5,0,0,,6,10,0.6,0,5,5,3,0,0,0,5,14,10
0,0,30.13,5,11,0.455,0,0,,1,3,0.333,2,6,8,0,0,1,1,3,11,6.2
1,1,25.30,4,10,0.4,0,0,,1,4,0.25,2,4,6,4,0,0,4,4,9,2.2
1,1,20.57,5,10,0.5,0,0,,2,5,0.4,4,5,9,2,0,1,2,3,12,9
1,1,17.80,4,5,0.8,0,0,,0,5,0,2,5,7,1,0,1,3,1,8,5
0,1,15.27,5,9,0.556,0,0,,0,0,,0,1,1,0,0,0,4,4,10,0.4
0,0,30.10,7,13,0.538,0,0,,2,4,0.5,2,4,6,0,1,4,2,5,16,11.3
0,0,22.73,2,8,0.25,0,1,0,3,6,0.5,3,7,10,3,0,0,2,5,7,3.3
1,1,23.02,5,11,0.455,0,0,,4,4,1,3,8,11,0,0,1,2,1,14,11.1
0,1,18.27,2,7,0.286,0,0,,1,2,0.5,1,5,6,2,0,2,3,5,5,0.5
1,1,24.90,7,9,0.778,0,0,,2,6,0.333,3,2,5,2,1,3,1,3,16,15.9
0,1,27.00,2,4,0.5,0,0,,6,8,0.75,1,8,9,1,1,1,1,2,10,10.9
1,1,17.47,4,6,0.667,0,0,,1,2,0.5,1,5,6,1,0,1,2,2,9,6.8
0,0,17.53,1,7,0.143,0,0,,3,4,0.75,3,5,8,0,0,0,2,3,5,0.5
0,1,19.18,1,2,0.5,0,0,,1,2,0.5,2,3,5,1,1,1,4,3,3,1.1
0,1,21.97,4,7,0.571,0,0,,0,0,,2,6,8,2,0,2,3,4,8,6.1
0,1,21.93,5,8,0.625,0,0,,1,4,0.25,2,5,7,0,0,0,0,5,11,7.1
1,1,22.48,5,12,0.417,0,0,,3,4,0.75,6,5,11,4,0,1,1,4,13,12.8
0,1,25.63,5,7,0.714,0,0,,0,0,,2,6,8,0,0,0,1,2,10,8.5
1,1,20.23,4,9,0.444,0,0,,3,8,0.375,2,3,5,3,0,1,2,1,11,7
0,1,26.33,4,11,0.364,0,0,,4,7,0.571,3,6,9,1,0,1,3,3,12,5.8
1,0,27.00,4,5,0.8,0,0,,2,3,0.667,1,6,7,0,0,0,2,2,10,7.4
1,1,17.38,6,9,0.667,0,0,,5,7,0.714,1,5,6,1,0,1,2,3,17,12.7
0,0,16.15,4,5,0.8,0,0,,2,4,0.5,2,2,4,2,0,1,2,5,10,7.4
0,1,24.65,3,4,0.75,0,0,,5,8,0.625,3,8,11,5,0,0,0,2,11,15.4
0,1,18.80,5,8,0.625,0,0,,3,5,0.6,0,6,6,0,0,2,3,1,13,8.4
0,0,19.48,2,4,0.5,0,0,,1,2,0.5,0,3,3,0,0,1,4,5,5,-1.8
0,1,20.93,3,7,0.429,0,0,,5,6,0.833,1,0,1,2,1,0,0,3,11,8.8
1,1,23.85,7,10,0.7,0,0,,2,3,0.667,1,4,5,2,0,0,2,5,16,10.7
1,1,28.45,5,9,0.556,0,0,,3,4,0.75,1,5,6,3,1,1,2,3,13,11.1
1,1,32.38,8,10,0.8,0,0,,6,15,0.4,1,5,6,3,0,1,2,4,22,16
0,1,27.43,9,13,0.692,0,0,,1,4,0.25,1,4,5,2,0,1,4,5,19,10.3
1,1,19.05,6,8,0.75,0,0,,1,1,1,1,3,4,4,0,0,3,2,13,10.4
0,1,24.70,8,10,0.8,0,0,,6,12,0.5,1,7,8,1,0,2,3,2,22,16.9
1,1,30.77,7,12,0.583,0,0,,2,2,1,4,8,12,3,0,1,2,4,16,14.8
1,1,21.43,6,10,0.6,0,0,,1,4,0.25,2,11,13,2,0,4,2,1,13,13.7
1,1,21.42,6,12,0.5,0,0,,1,3,0.333,3,5,8,1,0,0,1,2,13,8.7
1,1,25.60,8,13,0.615,0,0,,3,5,0.6,1,0,1,1,1,3,5,0,19,11.8
1,1,23.23,3,5,0.6,0,0,,1,2,0.5,1,7,8,5,2,2,1,2,7,12.2
1,1,19.45,5,9,0.556,0,0,,0,1,0,3,3,6,0,0,1,2,5,10,5
1,0,30.30,9,15,0.6,0,0,,0,6,0,0,7,7,0,0,1,1,5,18,8.5
0,0,26.90,4,9,0.444,0,0,,2,6,0.333,2,5,7,0,3,2,2,3,10,7.8
0,0,31.10,9,10,0.9,0,0,,2,2,1,3,2,5,1,0,2,2,5,20,17.4
1,1,30.78,9,13,0.692,0,0,,2,5,0.4,3,4,7,0,0,1,2,5,20,13.3
0,1,12.35,3,8,0.375,0,0,,0,0,,1,1,2,0,0,0,0,1,6,2.2
1,1,18.15,3,7,0.429,0,0,,3,8,0.375,2,5,7,0,0,1,1,2,9,5.1
0,0,21.03,3,4,0.75,0,0,,1,2,0.5,0,2,2,3,0,0,2,4,7,4.1
1,1,22.53,5,7,0.714,0,0,,0,0,,3,4,7,0,0,0,1,3,10,8.2
0,1,21.45,1,4,0.25,0,0,,3,5,0.6,2,5,7,0,1,0,1,5,5,2.7
0,1,22.37,7,10,0.7,0,0,,4,5,0.8,2,4,6,0,1,1,4,5,18,11.7
1,1,22.37,6,7,0.857,0,0,,1,5,0.2,4,2,6,0,0,0,0,2,13,11.5
1,0,27.87,5,5,1,0,0,,1,2,0.5,0,6,6,1,1,1,2,5,11,9.3
